timestamp, current1, current2, current3, current4, accelx, accely, accelz, degrees x, degrees y, degrees z, baro temp, baro pressure
140292203, 0.113921, 0.0476807, 0.191338, 0.702393, -0.185925, 8.10976, -6.09394, -0.549316, 0.137329, -0.0915527, 0, 0
140292213, 0.111357, 0.0456299, 0.192158, 0.701982, -0.063606, 7.92628, -6.53918, -0.320435, 0.198364, -0.12207, 0, 0
140292223, 0.112998, 0.0456299, 0.193901, 0.701982, -0.154122, 7.91405, -6.32635, 0.823975, -0.244141, 0.198364, 0, 0
140292233, 0.112998, 0.0472705, 0.193901, 0.702393, -0.20305, 8.12199, -6.16, -0.473022, -0.0152588, -0.0457764, 0, 0
140292243, 0.112998, 0.048501, 0.192671, 0.703213, -0.0929626, 8.03393, -6.48292, -1.23596, 0.228882, -0.259399, 0, 0
140292253, 0.112588, 0.048501, 0.191748, 0.701572, -0.122319, 7.9483, -6.24562, 0.762939, -0.259399, 0.183105, 0, 0
140292263, 0.114331, 0.0472705, 0.190518, 0.703213, -0.239746, 7.99968, -6.11107, 0.183105, 0.0762939, 0.0915527, 0, 0
140292283, 0.112588, 0.048501, 0.190928, 0.701572, -0.100302, 7.97521, -6.47069, 0.0305176, -0.228882, 0.0457764, 0, 0
140292293, 0.115151, 0.048501, 0.190107, 0.702803, -0.222621, 8.18071, -5.96428, 0.0762939, -0.228882, 0.106812, 0, 0
140292303, 0.115562, 0.0494238, 0.190928, 0.702393, -0.149229, 8.08775, -6.27498, -0.717163, -0.0457764, -0.167847, 0, 0
140292313, 0.110537, 0.0468603, 0.191338, 0.701162, -0.0733915, 7.89693, -6.51717, 0.137329, -0.0457764, 0, 0, 0
140292323, 0.112178, 0.0468603, 0.192671, 0.704033, -0.185925, 7.97766, -6.20403, 0.640869, 0.12207, 0.244141, 0, 0
140292333, 0.112178, 0.0480908, 0.192671, 0.704033, -0.161461, 8.09753, -6.23339, -1.15967, -0.12207, -0.228882, 0, 0
140292343, 0.112178, 0.0476807, 0.193491, 0.702803, -0.0538205, 7.95075, -6.49026, -0.50354, -0.183105, -0.152588, 0, 0
140292363, 0.113511, 0.048501, 0.191748, 0.702803, -0.220175, 8.00946, -6.23583, -0.244141, 0.0762939, 0, 0, 0
